median house value,median income,housing median age,total rooms,total bedrooms,population,households,latitude,longitude
1.50E+04,1.66E+00,1.60E+01,2.55E+02,7.30E+01,8.50E+01,3.80E+01,3.97E+01,-1.23E+02
1.50E+04,2.10E+00,1.90E+01,6.19E+02,2.39E+02,4.90E+02,1.64E+02,3.64E+01,-1.17E+02
1.50E+04,4.19E+00,5.20E+01,8.03E+02,2.67E+02,6.28E+02,2.25E+02,3.42E+01,-1.18E+02
1.50E+04,5.36E-01,3.60E+01,9.80E+01,2.80E+01,1.80E+01,8.00E+00,4.03E+01,-1.23E+02
1.75E+04,2.37E+00,3.90E+01,4.93E+02,1.68E+02,2.59E+02,1.38E+02,3.41E+01,-1.18E+02
2.25E+04,2.67E+00,3.30E+01,2.96E+02,7.30E+01,2.16E+02,6.30E+01,3.79E+01,-1.22E+02
2.25E+04,2.71E+00,8.00E+00,9.98E+03,1.74E+03,6.84E+03,1.44E+03,3.54E+01,-1.17E+02
2.25E+04,1.09E+00,5.20E+01,8.45E+02,4.51E+02,1.23E+03,3.75E+02,3.27E+01,-1.17E+02
2.25E+04,7.92E-01,5.20E+01,1.07E+02,7.90E+01,1.67E+02,5.30E+01,3.80E+01,-1.21E+02
2.50E+04,8.57E-01,2.10E+01,4.40E+01,3.30E+01,6.40E+01,2.70E+01,3.28E+01,-1.15E+02
2.66E+04,2.30E+00,3.40E+01,1.44E+03,3.09E+02,8.08E+02,2.94E+02,3.51E+01,-1.19E+02
2.69E+04,2.20E+00,4.60E+01,2.75E+03,5.43E+02,1.42E+03,4.82E+02,3.51E+01,-1.19E+02
2.75E+04,1.27E+00,1.70E+01,9.70E+01,2.40E+01,2.90E+01,1.50E+01,3.39E+01,-1.15E+02
2.83E+04,2.74E+00,2.90E+01,1.77E+04,3.11E+03,1.24E+04,2.83E+03,3.47E+01,-1.21E+02
3.00E+04,1.21E+00,2.30E+01,1.59E+03,4.48E+02,3.38E+02,1.82E+02,3.34E+01,-1.16E+02
3.00E+04,2.64E+00,4.50E+01,9.73E+02,1.83E+02,5.00E+02,1.77E+02,3.51E+01,-1.19E+02
3.25E+04,4.02E+00,1.50E+01,2.08E+02,4.90E+01,5.10E+01,2.00E+01,3.29E+01,-1.16E+02
3.25E+04,1.83E+00,2.00E+01,1.23E+03,3.32E+02,6.67E+02,2.88E+02,3.86E+01,-1.21E+02
3.25E+04,1.85E+00,5.20E+01,1.01E+03,4.22E+02,1.06E+03,3.82E+02,3.78E+01,-1.22E+02
3.25E+04,1.64E+00,2.40E+01,9.38E+02,2.75E+02,5.08E+02,2.53E+02,3.86E+01,-1.22E+02
